asset_id,asset_area,subject_or_scene,variant_or_view,binary_status,suggested_repo_path,notes
PW_IMG_0001,character_reference,Ducky,frontal primary close facial reference,missing_or_needs_manual_export,previews/generated-images/characters/aegis/ducky/,Known from project context as part of earlier AEGIS facial-reference workflow; actual binary not accessible here.
PW_IMG_0002,character_reference,Ducky,side-angle close facial reference,missing_or_needs_manual_export,previews/generated-images/characters/aegis/ducky/,Known from project context as part of earlier AEGIS facial-reference workflow; actual binary not accessible here.
PW_IMG_0003,character_reference,Ducky,low-light close facial reference,missing_or_needs_manual_export,previews/generated-images/characters/aegis/ducky/,Known from project context as part of earlier AEGIS facial-reference workflow; actual binary not accessible here.
PW_IMG_0004,character_reference,LCPL Cassandra Switchblade Stewart,neutral-light face reference,missing_or_needs_manual_export,previews/generated-images/characters/aegis/switchblade/,Reference set was accepted for future promo generation; distinguish user-provided refs from generated previews.
PW_IMG_0005,character_reference,LCPL Cassandra Switchblade Stewart,full-body gear silhouette / helmet / hair reference,missing_or_needs_manual_export,previews/generated-images/characters/aegis/switchblade/,Reference set was accepted for future promo generation; distinguish user-provided refs from generated previews.
PW_IMG_0006,character_reference,LCPL Cassandra Switchblade Stewart,side-angle close facial reference,missing_or_needs_manual_export,previews/generated-images/characters/aegis/switchblade/,Reference set was accepted for future promo generation; distinguish user-provided refs from generated previews.
PW_IMG_0007,character_reference,LCPL Cassandra Switchblade Stewart,low-light close facial reference,missing_or_needs_manual_export,previews/generated-images/characters/aegis/switchblade/,Reference set was accepted for future promo generation; distinguish user-provided refs from generated previews.
PW_IMG_0008,promo_still,LCPL Cassandra Switchblade Stewart,Kaliningrad harbor / Ka-52 hunter moment baseline,missing_or_needs_manual_export,previews/generated-images/promo-stills/switchblade-kaliningrad-harbor/,Accepted as reusable baseline prompt/image direction; actual binary not accessible here.
PW_IMG_0009,promo_still,LCPL Cassandra Switchblade Stewart,Kaliningrad harbor / Ka-52 hunter moment cover-tweak variant,missing_or_needs_manual_export,previews/generated-images/promo-stills/switchblade-kaliningrad-harbor/,Use revised storytelling logic: behind cover / not clearly exposed to helicopter.
PW_IMG_0010,character_reference,Ştefan Lupin Dragavei,frontal primary close facial reference,missing_or_needs_manual_export,previews/generated-images/characters/aegis/lupin/,Generated/requested in AEGIS facial-reference workflow; actual binary not accessible here.
PW_IMG_0011,character_reference,Ştefan Lupin Dragavei,side-angle close facial reference,missing_or_needs_manual_export,previews/generated-images/characters/aegis/lupin/,Generated/requested in AEGIS facial-reference workflow; actual binary not accessible here.
PW_IMG_0012,character_reference,Ştefan Lupin Dragavei,low-light close facial reference,missing_or_needs_manual_export,previews/generated-images/characters/aegis/lupin/,Generated/requested in AEGIS facial-reference workflow; actual binary not accessible here.
PW_IMG_0013,character_reference,Aki Frost Peltola,frontal primary close facial reference,not_yet_complete_or_needs_revisit,previews/generated-images/characters/aegis/frost/,Project memory flags Frost visuals as needing future dedicated reference package.
PW_IMG_0014,character_reference,Aki Frost Peltola,side-angle close facial reference,not_yet_complete_or_needs_revisit,previews/generated-images/characters/aegis/frost/,Project memory flags Frost visuals as needing future dedicated reference package.
PW_IMG_0015,character_reference,Aki Frost Peltola,low-light close facial reference,not_yet_complete_or_needs_revisit,previews/generated-images/characters/aegis/frost/,Project memory flags Frost visuals as needing future dedicated reference package.
PW_IMG_0016,character_reference,Aki Frost Peltola,unmasked/scarring reference package,not_yet_complete_or_needs_revisit,previews/generated-images/characters/aegis/frost/,Additional package needed because masked/unmasked identity and scarring require more careful visual lock.
PW_IMG_0017,character_reference,Lt Tara Halliday / ORACLE,command-center cinematic still,missing_or_needs_manual_export,previews/generated-images/characters/daog-command/tara-halliday-oracle/,Accepted generated direction; generated overlay text had misspellings and should be corrected manually or omitted.
PW_IMG_0018,character_reference,Lt Tara Halliday / ORACLE,full-body lineup card / roster graphic,missing_or_needs_manual_export,previews/generated-images/characters/daog-command/tara-halliday-oracle/,Accepted generated direction; generated overlay text had misspellings and should be corrected manually or omitted.
PW_IMG_0019,civilian_memory_photo,Boston wheelchair mission trio,Boston City Hall smartphone tourist photo,missing_or_needs_manual_export,previews/generated-images/civilian-memory-photos/boston-city-hall-trio/,Prompt lane locked; binary not accessible here.
PW_IMG_0020,civilian_memory_photo,Boston wheelchair mission trio,Boston City Hall Polaroid / instant-film version,missing_or_needs_manual_export,previews/generated-images/civilian-memory-photos/boston-city-hall-trio/,Prompt lane locked; binary not accessible here.
PW_IMG_0021,civilian_memory_photo,Boston wheelchair mission trio,Boston City Hall slightly awkward passerby smartphone version,missing_or_needs_manual_export,previews/generated-images/civilian-memory-photos/boston-city-hall-trio/,Generated/requested in visible project context; binary not accessible here.
PW_IMG_0022,civilian_memory_photo,Boston wheelchair mission trio,Cheers Boston smartphone tourist photo,missing_or_needs_manual_export,previews/generated-images/civilian-memory-photos/cheers-boston-trio/,Prompt lane locked; binary not accessible here.
PW_IMG_0023,civilian_memory_photo,Boston wheelchair mission trio,Cheers Boston Polaroid / instant-film version,missing_or_needs_manual_export,previews/generated-images/civilian-memory-photos/cheers-boston-trio/,Prompt lane locked; binary not accessible here.
PW_IMG_0024,civilian_memory_photo,Boston wheelchair mission trio,Cheers Boston slightly awkward dim-bar smartphone version,missing_or_needs_manual_export,previews/generated-images/civilian-memory-photos/cheers-boston-trio/,Generated/requested in visible project context; binary not accessible here.
PW_IMG_0025,patch_logo,DAOG / AEGIS command,OLYMPUS four-color patch concept,missing_or_needs_manual_export,previews/generated-images/factions-and-patches/olympus/,Generated/design-thread candidate; binary not accessible here.
PW_IMG_0026,patch_logo,TERRANOS,full-color patch concept with thunderbolt motif,missing_or_needs_manual_export,previews/generated-images/factions-and-patches/terranos/,Generated/design-thread candidate; binary not accessible here.
PW_IMG_0027,patch_logo,FATIN,full-color patch concept comet/griffin exploration,missing_or_needs_manual_export,previews/generated-images/factions-and-patches/fatin/,Generated/design-thread candidate; binary not accessible here.
PW_IMG_0028,brand_logo,MINOTAUR STEAKHOUSE,clean presentation board with 4 logo exploration options,missing_or_needs_manual_export,previews/generated-images/brands-and-logos/minotaur-steakhouse/,Generated in project context; no other brand names should appear on board.
PW_IMG_0029,promo_still,KERAUNOS / Brno Exhibition Centre Rafale strike,street-level cinematic promo image,missing_or_needs_manual_export,previews/generated-images/promo-stills/keraunos-brno-rafale-strike/,Prompt/image request visible in recent context; binary not accessible here.
PW_IMG_0030,character_reference,Boston Wheelchair Mission Civilian Male 01,full-body / close-face reference set,missing_or_needs_manual_export,previews/generated-images/characters/boston-civilians/civilian-male-01/,Prompt packets locked; actual image binaries not accessible here.
PW_IMG_0031,character_reference,Boston Wheelchair Mission Civilian Female 01,full-body / close-face reference set,missing_or_needs_manual_export,previews/generated-images/characters/boston-civilians/civilian-female-01/,Prompt packets locked; actual image binaries not accessible here.
PW_IMG_0032,character_reference,Boston Wheelchair Mission Friend / Civilian Male 02,manual-wheelchair seated/full-body reference set,missing_or_needs_manual_export,previews/generated-images/characters/boston-civilians/civilian-male-02-wheelchair/,Prompt packets locked; actual image binaries not accessible here.
